Time,Sample number,Temperature (°C),Humidity (%RH),Sensor response (Ohm),PM response,Temperature MFC (°C),Nanofiber current (mA),Nanofiber voltage (V)
2020-07-10 17:38:51.077786,212,20.9,25.4,,,22.44,00.0001E-03,-04.096E+00
2020-07-10 17:38:51.337709,213,20.9,25.4,,,22.44,00.0001E-03,-04.096E+00
2020-07-10 17:38:51.573702,214,20.9,25.4,,,22.44,00.0001E-03,-04.096E+00
2020-07-10 17:38:51.841851,215,20.9,25.4,,,22.44,00.0001E-03,-04.096E+00
2020-07-10 17:38:52.082220,216,20.9,25.4,,,22.44,00.0001E-03,-04.096E+00
2020-07-10 17:38:52.321373,217,20.9,25.4,,,22.44,00.0001E-03,-04.096E+00
2020-07-10 17:38:52.589836,218,20.9,25.4,,,22.44,00.0001E-03,-04.096E+00
2020-07-10 17:38:52.825950,219,20.9,25.4,,,22.44,00.0001E-03,-04.096E+00
2020-07-10 17:38:53.078659,220,20.9,25.4,,,22.44,00.0001E-03,-04.096E+00
2020-07-10 17:38:53.337999,221,20.9,25.4,,,22.44,00.0001E-03,-04.096E+00
2020-07-10 17:38:53.590268,222,20.9,25.4,,,22.44,00.0001E-03,-04.096E+00
2020-07-10 17:38:53.830415,223,20.9,25.4,,,22.44,00.0001E-03,-04.096E+00
2020-07-10 17:38:54.104086,224,20.9,25.4,,,22.44,00.0001E-03,-04.096E+00
2020-07-10 17:38:54.326265,225,20.9,25.4,,,22.44,00.0001E-03,-04.096E+00
2020-07-10 17:38:54.668306,226,20.9,25.4,,,22.44,00.0001E-03,-04.096E+00
2020-07-10 17:38:54.833577,227,20.9,25.4,,,22.45,00.0001E-03,-04.096E+00
2020-07-10 17:38:55.086900,228,20.9,25.4,,,22.45,00.0001E-03,-04.096E+00
2020-07-10 17:38:55.334179,229,20.9,25.4,,,22.45,00.0001E-03,-04.096E+00
2020-07-10 17:38:55.579953,230,20.9,25.4,,,22.45,00.0001E-03,-04.096E+00
2020-07-10 17:38:55.842129,231,20.9,25.4,,,22.45,00.0001E-03,-04.096E+00
2020-07-10 17:38:56.089390,232,20.9,25.4,,,22.45,00.0001E-03,-04.096E+00
2020-07-10 17:38:56.351218,233,20.9,25.4,,,22.45,00.0001E-03,-04.096E+00
2020-07-10 17:38:56.588135,234,20.9,25.4,,,22.45,00.0001E-03,-04.096E+00
2020-07-10 17:38:56.868074,235,20.9,25.4,,,22.45,00.0001E-03,-04.096E+00
2020-07-10 17:38:57.105852,236,20.9,25.4,,,22.45,00.0001E-03,-04.096E+00
2020-07-10 17:38:57.335329,237,20.9,25.4,,,22.45,00.0001E-03,-04.096E+00
2020-07-10 17:38:57.591154,238,20.9,25.4,,,22.45,00.0001E-03,-04.096E+00
2020-07-10 17:38:57.839354,239,20.9,25.4,,,22.45,00.0001E-03,-04.096E+00
2020-07-10 17:38:58.097887,240,20.9,25.4,,,22.45,00.0001E-03,-04.096E+00
2020-07-10 17:38:58.339533,241,20.9,25.4,,,22.45,00.0001E-03,-04.096E+00
2020-07-10 17:38:58.614079,242,20.9,25.4,,,22.45,00.0001E-03,-04.096E+00
2020-07-10 17:38:58.865164,243,20.9,25.4,,,22.45,00.0001E-03,-04.096E+00
2020-07-10 17:38:59.129780,244,20.9,25.4,,,22.45,00.0001E-03,-04.096E+00
2020-07-10 17:38:59.339743,245,20.9,25.4,,,22.45,00.0001E-03,-04.096E+00
2020-07-10 17:38:59.599585,246,20.9,25.4,,,22.46,00.0001E-03,-04.096E+00
2020-07-10 17:38:59.842461,247,20.9,25.4,,,22.46,00.0001E-03,-04.096E+00
2020-07-10 17:39:00.104412,248,20.9,25.4,,,22.45,00.0001E-03,-04.096E+00
2020-07-10 17:39:00.359263,249,20.9,25.4,,,22.46,00.0001E-03,-04.096E+00
2020-07-10 17:39:00.602668,250,20.9,25.4,,,22.46,00.0001E-03,-04.096E+00
2020-07-10 17:39:00.879128,251,20.9,25.4,,,22.46,00.0001E-03,-04.096E+00
2020-07-10 17:39:01.107512,252,20.9,25.4,,,22.46,00.0001E-03,-04.096E+00
2020-07-10 17:39:01.380757,253,20.9,25.4,,,22.46,00.0001E-03,-04.096E+00
2020-07-10 17:39:01.602113,254,20.9,25.4,,,22.46,00.0001E-03,-04.096E+00
2020-07-10 17:39:01.844465,255,20.9,25.4,,,22.46,00.0001E-03,-04.096E+00
2020-07-10 17:39:02.097814,256,20.9,25.4,,,22.46,00.0001E-03,-04.096E+00
2020-07-10 17:39:02.348512,257,20.9,25.4,,,22.46,00.0001E-03,-04.096E+00
2020-07-10 17:39:02.611376,258,20.9,25.4,,,22.46,00.0001E-03,-04.096E+00
2020-07-10 17:39:02.853569,259,20.9,25.4,,,22.46,00.0001E-03,-04.096E+00
2020-07-10 17:39:03.122965,260,20.9,25.4,,,22.47,00.0001E-03,-04.096E+00
2020-07-10 17:39:03.349399,261,20.9,25.4,,,22.47,00.0001E-03,-04.096E+00
2020-07-10 17:39:03.623177,262,20.9,25.4,,,22.47,00.0001E-03,-04.096E+00
2020-07-10 17:39:03.851832,263,20.9,25.4,,,22.47,00.0001E-03,-04.096E+00
2020-07-10 17:39:04.139043,264,20.9,25.4,,,22.47,00.0001E-03,-04.096E+00
2020-07-10 17:39:04.356224,265,20.9,25.4,,,22.47,00.0001E-03,-04.096E+00
2020-07-10 17:39:04.649875,266,20.9,25.4,,,22.47,00.0001E-03,-04.096E+00
2020-07-10 17:39:04.853573,267,20.9,25.4,,,22.47,00.0001E-03,-04.096E+00
2020-07-10 17:39:05.119013,268,20.9,25.4,,,22.47,00.0001E-03,-04.096E+00
2020-07-10 17:39:05.371105,269,20.9,25.4,,,22.47,00.0001E-03,-04.096E+00
2020-07-10 17:39:05.610165,270,20.9,25.4,,,22.47,00.0001E-03,-04.096E+00
2020-07-10 17:39:05.873306,271,20.9,25.4,,,22.47,00.0001E-03,-04.096E+00
2020-07-10 17:39:06.119662,272,20.9,25.4,,,22.47,00.0001E-03,-04.096E+00
2020-07-10 17:39:06.386090,273,20.9,25.4,,,22.47,00.0001E-03,-04.096E+00
2020-07-10 17:39:06.615857,274,20.9,25.3,,,22.47,00.0001E-03,-04.096E+00
2020-07-10 17:39:06.898921,275,20.9,25.3,,,22.47,00.0001E-03,-04.096E+00
2020-07-10 17:39:07.118659,276,20.9,25.3,,,22.48,00.0001E-03,-04.096E+00
2020-07-10 17:39:07.365068,277,20.9,25.3,,,22.48,00.0001E-03,-04.096E+00
2020-07-10 17:39:07.621431,278,20.9,25.3,,,22.48,00.0001E-03,-04.096E+00
2020-07-10 17:39:07.862176,279,20.9,25.3,,,22.48,00.0001E-03,-04.096E+00
